SL1344_v1	EEP	MEP	LEP	ESP	LSP	25C	NaCl	Bile	Low_Fe	NoO2S	NoO2	Oxygen	NonSPI2	InSPI2	Peroxide	NO	Macrophage
SL1344_1648	43.14	41.01	35.03	25.40	4.04	46.26	31.53	68.32	42.12	33.04	36.11	42.32	45.22	49.95	28.42	31.14	99.41
SL1344_0161	50.45	48.24	67.31	64.12	29.89	39.72	96.10	83.16	57.23	107.07	60.81	67.74	38.20	31.21	62.72	56.56	88.66
SL1344_1649	22.99	22.70	32.90	22.48	1.80	15.81	25.44	62.51	25.04	22.97	8.38	33.32	45.03	22.84	4.84	11.17	39.19
SL1344_1650	24.19	32.50	31.54	41.41	2.74	20.15	48.95	73.61	49.04	48.70	25.23	48.61	51.29	39.95	31.22	31.25	40.12
SL1344_1651	166.63	79.40	71.26	18.27	0.92	116.62	39.38	92.58	59.88	15.95	24.44	56.64	88.11	41.96	8.42	22.72	87.43
SL1344_1652	35.40	47.76	32.34	22.17	7.82	27.21	37.32	48.74	44.75	36.50	35.91	45.75	41.59	40.65	28.19	43.65	59.80
SL1344_1653	34.14	40.29	35.39	30.97	18.98	24.80	46.01	44.86	43.12	35.23	38.76	40.93	37.16	31.93	41.13	33.03	38.18
SL1344_1654	3.73	1.58	1.66	1.11	0.44	2.12	4.52	1.62	1.37	0.87	0.56	2.06	43.24	31.23	27.92	5.06	396.84
SL1344_1655	3.37	1.90	2.11	2.30	0.51	2.60	3.91	2.67	2.09	1.87	1.49	3.45	50.22	35.62	11.23	6.83	151.33
SL1344_1656	6.22	5.87	3.60	3.97	1.10	4.89	11.24	6.26	5.61	3.59	5.16	9.95	67.54	42.80	10.85	10.05	114.07
SL1344_1657	6.82	5.09	5.47	5.97	0.63	6.03	7.70	9.05	6.09	5.91	6.50	8.54	70.28	53.18	14.15	13.10	58.54
SL1344_1658	7.81	6.59	6.19	6.57	1.31	6.35	10.38	6.99	7.53	7.40	7.76	8.64	67.72	62.27	15.73	13.67	44.28
SL1344_0162	4.03	21.91	6.54	8.87	1.30	4.21	45.46	322.39	56.10	82.62	3.54	4.36	2.45	0.80	1.89	2.58	5.46
SL1344_1659	0.00	0.00	15.81	208.09	4520.77	2.28	346.22	6.31	8.51	9.68	41.92	77.07	10.64	54.91	15.06	43.42	24.16
SL1344_1660	0.31	0.75	3.43	42.71	99.26	0.82	192.80	1.60	0.71	0.27	3.73	35.12	4.52	6.91	0.51	7.74	6.99
SL1344_1661	0.30	0.00	2.46	21.93	64.14	1.37	74.26	0.68	0.94	0.80	2.22	22.18	2.77	4.94	1.19	2.72	2.90
SL1344_1662	5.24	6.49	8.09	20.64	68.27	5.51	33.83	4.97	6.51	6.95	11.40	25.56	11.79	12.99	6.73	13.98	12.44
SL1344_ncRNA_111	2.95	7.30	11.07	33.28	939.82	10.64	50.49	4.42	4.58	5.21	14.43	19.98	10.28	8.36	4.94	23.03	9.86
SL1344_1663	8.42	11.60	66.61	1208.77	19.30	6.07	18.78	30.08	17.17	945.08	108.41	32.25	16.23	31.84	21.35	25.24	27.34
SL1344_1664	9.88	13.16	29.68	37.30	6.16	9.58	15.84	44.65	34.78	44.62	24.15	32.15	46.80	29.85	11.24	43.27	67.11
SL1344_1665	78.49	80.99	66.36	53.58	6.36	56.39	42.85	90.62	67.31	41.59	52.69	71.04	83.26	104.68	41.63	50.28	270.13
SL1344_1666	95.39	78.54	67.10	47.98	12.00	73.62	48.10	115.75	65.39	43.00	54.30	69.59	97.42	108.43	23.05	79.86	348.85
SL1344_1667	112.90	99.88	88.03	57.38	6.05	63.44	30.28	76.79	49.00	27.38	27.14	70.74	70.64	57.97	11.75	24.78	33.99
SL1344_0163	2.17	30.62	7.62	8.49	0.44	3.37	23.76	236.40	58.09	86.80	2.76	5.48	3.36	1.79	1.55	1.93	4.27
SL1344_1668	97.40	84.48	5.93	6.71	7.00	41.78	25.25	156.72	190.88	7.45	16.32	34.83	79.56	14.32	23.77	21.55	87.27
SL1344_1669	67.92	100.69	64.49	116.25	20.38	82.21	175.74	189.04	164.53	157.50	98.03	67.75	130.90	98.72	25.76	62.50	128.98
SL1344_ncRNA_112	586.33	482.50	657.84	279.89	41.39	622.41	516.16	571.65	554.09	397.35	707.84	433.32	335.06	536.42	211.66	336.24	191.48
SL1344_1670	11.46	12.48	14.19	9.13	1.83	11.46	20.12	20.46	16.39	16.15	15.93	19.86	23.84	12.72	6.34	16.69	17.17
SL1344_1671	184.73	148.28	88.35	53.84	13.04	196.68	167.09	179.51	180.97	63.03	69.95	144.02	134.62	95.75	14.32	46.59	89.98
SL1344_1672	11.58	17.96	25.88	17.71	2.46	11.67	10.70	14.55	16.75	15.94	16.15	13.55	14.27	18.06	4.82	17.76	19.30
SL1344_1673	54.11	48.78	91.25	68.45	8.48	39.52	52.63	47.95	52.30	56.42	47.34	52.57	48.51	39.60	17.07	33.87	62.04
SL1344_1674	12.80	13.01	58.87	36.40	1.11	9.20	11.41	14.03	9.81	28.40	19.87	21.77	24.15	19.31	2.13	7.61	39.66
SL1344_1675	10.14	13.80	63.81	38.79	3.22	7.00	13.55	11.77	10.62	30.60	18.46	22.31	24.79	18.54	3.40	11.21	34.54
SL1344_1676	14.18	11.14	75.80	64.85	3.31	7.36	16.59	10.87	11.91	36.24	22.70	18.75	27.30	17.95	4.56	14.38	55.04
SL1344_0164	5.15	34.57	10.25	9.74	1.52	4.50	23.20	174.74	62.26	172.48	9.29	11.10	7.54	5.30	4.10	5.06	14.76
SL1344_1677	22.02	19.20	123.63	118.79	4.84	14.92	34.91	30.57	21.68	75.20	48.23	45.04	50.46	60.94	17.07	23.90	90.76
SL1344_1678	0.98	0.00	1.83	1.95	1.19	0.44	3.66	1.10	0.76	3.02	1.59	2.98	2.34	4.84	1.64	6.10	27.30
SL1344_ncRNA_113	56.34	33.64	93.50	72.17	132.22	35.00	193.17	50.90	91.94	199.00	144.07	51.30	109.09	46.75	178.94	218.26	23.19
SL1344_1679	16.13	17.02	14.23	5.66	0.77	19.66	3.55	11.90	7.91	5.03	7.93	11.24	13.84	11.08	2.12	6.85	15.29
SL1344_1680	70.55	29.77	27.55	44.44	15.09	15.08	19.79	41.19	28.90	413.72	154.26	53.12	104.07	93.13	56.47	16.74	193.92
SL1344_1681	78.35	74.45	43.84	31.52	7.15	82.02	81.91	80.26	65.62	45.47	30.41	39.24	60.52	43.49	19.58	53.37	47.74
SL1344_1682	4365.25	3940.86	2937.79	3588.67	658.80	7030.08	4870.00	4270.19	5086.21	2939.60	2382.42	2407.22	3435.65	2962.42	772.30	2930.61	2196.57
SL1344_1683	96.01	106.62	91.17	60.21	20.27	108.42	108.61	149.32	113.04	68.06	89.53	125.76	88.21	98.46	33.68	58.55	95.71
SL1344_1684	34.54	40.29	34.66	26.93	11.91	34.26	34.67	51.15	37.50	20.47	32.10	66.16	55.13	45.36	9.30	37.29	57.51
SL1344_1685	42.06	46.15	47.70	48.15	7.08	34.99	56.75	70.08	48.55	33.10	40.49	86.34	63.78	53.41	13.16	37.25	83.64
SL1344_0165	56.43	107.16	54.53	47.25	4.94	54.08	86.65	220.36	150.28	294.03	67.18	55.00	62.80	42.63	50.71	54.41	61.14
SL1344_1686	83.10	84.14	63.25	32.68	7.20	61.28	53.74	77.27	71.24	39.06	35.50	56.49	92.33	68.78	13.28	37.26	50.88
SL1344_1687	69.81	64.93	60.27	44.74	6.20	47.13	32.55	70.82	75.24	27.20	27.18	50.60	117.42	86.70	18.01	33.28	58.66
SL1344_1688	4.68	7.85	8.98	10.49	10.66	5.81	14.13	12.62	12.59	13.51	14.75	15.71	10.37	10.83	6.56	14.25	18.88
SL1344_ncRNA_114	11.86	11.00	12.05	17.71	19.52	3.34	128.42	18.32	17.26	15.06	18.13	18.07	72.29	26.76	115.47	92.84	11.33
SL1344_1689	1.13	0.84	2.69	4.21	0.73	1.43	0.97	2.04	2.46	96.09	6.10	2.92	3.36	4.81	1.77	3.18	12.12
SL1344_1690	0.43	0.53	1.22	3.58	0.18	0.00	0.23	0.49	1.01	142.21	4.40	1.02	2.07	1.22	0.60	2.28	10.73
SL1344_1691	0.50	0.62	0.94	2.59	0.20	0.54	0.75	0.90	1.40	119.72	4.81	2.03	1.35	1.42	1.06	1.05	8.78
SL1344_1692	0.53	0.41	0.95	1.80	0.13	0.44	0.57	0.49	0.76	132.85	3.91	1.14	0.86	0.58	0.34	0.90	5.76
SL1344_ncRNA_115	9.90	24.49	34.04	1169.15	189.54	15.61	26.47	33.36	40.33	4225.39	119.02	60.33	59.26	82.35	70.47	165.13	223.38
SL1344_1693	0.88	1.49	5.08	52.84	9.26	1.29	2.00	2.06	2.64	690.25	9.58	4.61	4.02	4.28	4.05	16.89	18.04
SL1344_0166	256.50	123.12	80.71	13.46	0.86	119.28	74.40	136.61	60.89	6.83	4.88	89.38	214.63	107.67	17.70	4.75	46.51
SL1344_1694	9.83	10.36	9.61	5.39	1.70	6.85	7.49	9.28	9.81	16.07	5.22	10.30	11.38	9.37	2.05	9.00	20.24
SL1344_1695	9.92	6.72	10.92	12.53	4.02	8.51	9.09	8.66	8.06	16.26	9.43	11.35	16.55	23.90	12.79	21.46	25.48
SL1344_1696	16.92	15.20	11.52	13.51	21.22	6.02	50.24	16.30	13.30	11.52	17.92	30.94	17.08	17.70	9.08	21.95	28.46
SL1344_1697	119.13	103.79	67.39	62.30	11.27	77.95	152.94	108.71	92.76	86.38	60.23	59.46	84.22	80.93	47.08	59.19	88.02
SL1344_1698	16.01	15.68	202.70	243.45	263.03	48.09	557.21	83.43	70.41	34.18	60.90	234.92	114.73	195.53	28.68	119.48	108.96
SL1344_1699	47.16	27.09	28.08	19.07	26.45	43.87	93.83	45.86	22.19	7.52	6.37	41.56	46.28	15.11	5.69	15.78	68.75
SL1344_1700	88.78	99.14	86.72	48.40	7.79	58.77	55.72	131.72	86.31	53.32	80.99	90.04	89.18	100.61	22.97	45.01	69.25
SL1344_1701	105.29	92.22	64.98	36.75	2.54	58.11	44.83	96.72	63.29	30.66	42.36	68.46	74.40	64.18	6.46	31.90	41.03
SL1344_1702	61.15	38.06	32.06	12.04	2.24	39.45	22.78	45.19	29.08	19.86	21.54	39.80	44.65	30.72	2.64	22.16	22.79
SL1344_1703	61.72	34.87	24.53	11.86	0.52	28.88	12.02	23.86	16.72	7.48	13.36	30.19	25.50	16.30	2.47	9.13	14.69
SL1344_ncRNA_3	12.79	11.86	23.98	65.75	36.27	11.52	17.09	14.36	27.29	107.29	46.90	21.65	22.27	49.79	26.77	77.33	9.16
SL1344_0167	160.25	80.12	57.56	15.98	0.72	71.38	50.18	81.77	45.00	10.24	9.02	57.87	117.84	67.58	30.48	8.01	79.67
SL1344_1704	95.32	52.81	43.80	20.89	1.21	46.13	27.75	52.88	26.96	14.53	16.99	47.44	51.74	27.61	7.60	20.42	36.44
SL1344_1705	115.10	89.93	75.46	41.50	4.50	79.37	60.10	84.89	66.74	56.22	71.40	83.06	85.31	57.25	71.55	67.93	106.59
SL1344_1706	20.20	20.11	26.02	19.28	3.59	11.98	28.18	27.30	21.79	15.01	30.52	55.04	30.45	32.61	2.75	17.59	41.64
SL1344_1707	185.57	195.63	148.23	75.97	6.65	104.47	66.91	140.82	137.68	61.79	83.63	163.37	151.82	185.09	10.17	37.64	104.71
SL1344_1708	210.36	258.98	199.76	70.52	2.56	131.26	48.69	370.42	150.89	46.08	73.96	231.29	291.77	275.30	24.79	29.27	233.84
SL1344_1709	18.76	18.86	26.62	6.19	1.35	13.57	3.95	22.14	8.96	4.98	7.00	11.64	10.22	11.97	2.58	5.62	10.37
SL1344_1710	1.10	5.46	76.95	374.27	42.49	25.86	59.62	78.94	6.00	375.87	216.40	31.40	11.77	6.25	238.53	9.91	118.62
SL1344_1711	44.94	50.06	43.53	36.09	7.24	41.91	24.16	70.63	40.98	20.42	18.20	31.85	39.92	30.69	7.92	13.84	33.63
SL1344_1712	97.49	90.30	71.22	43.21	11.51	70.46	40.46	111.42	76.84	33.66	32.10	71.43	71.83	54.86	31.02	36.38	57.56
SL1344_1713	33.97	32.86	23.20	13.76	3.74	44.38	51.37	23.62	24.47	18.32	19.68	20.21	24.40	9.96	13.61	21.20	14.66
SL1344_0168	130.92	101.75	78.79	38.14	15.05	176.12	166.93	120.20	115.30	112.09	65.96	80.85	123.79	95.79	42.96	111.46	126.71
SL1344_1714	0.00	0.17	0.51	0.00	0.22	0.25	0.29	0.10	0.21	1.09	77.97	0.74	0.36	0.19	0.00	0.32	0.66
SL1344_1715	1.03	1.91	0.91	0.62	0.28	0.85	1.10	1.35	1.13	1.89	57.34	2.14	1.08	0.97	0.62	1.24	2.13
SL1344_1716	0.63	0.00	0.92	0.28	0.60	0.19	0.22	0.16	0.33	0.56	58.34	1.42	0.46	0.45	0.35	0.66	1.10
SL1344_1717	0.52	0.64	0.64	0.17	0.10	0.46	0.83	1.16	0.60	1.14	42.39	2.09	1.12	0.91	0.14	0.40	0.98
SL1344_1718	0.76	0.00	0.47	0.76	0.46	0.68	0.00	0.57	0.00	0.00	37.15	0.51	0.83	0.00	0.42	0.30	2.36
SL1344_1719	0.54	0.45	1.13	0.36	0.00	0.33	0.19	0.95	0.28	0.48	39.38	1.47	0.47	1.02	0.10	0.92	3.54
SL1344_1720	0.80	0.25	0.81	0.46	0.20	0.18	0.85	0.97	0.77	0.79	31.92	1.82	1.08	0.84	0.17	0.85	1.76
SL1344_1721	1.76	1.17	1.69	0.54	0.11	1.22	0.72	1.11	1.26	0.84	26.64	2.29	1.29	1.82	0.15	1.53	3.61
SL1344_ncRNA_116	56.63	31.01	47.83	29.25	45.36	28.43	91.52	39.49	43.94	44.67	31.71	42.44	132.29	102.81	46.09	132.39	16.10
SL1344_0169	12.68	17.69	11.80	8.47	1.31	10.39	12.23	18.06	59.32	17.51	10.10	18.52	50.41	59.10	40.34	84.30	20.85
SL1344_1723	26.18	85.39	334.70	188.02	30.55	57.71	48.05	128.08	85.64	14.93	14.44	102.73	4.89	5.66	11.77	13.15	56.19
SL1344_1724	3.94	6.43	32.72	36.69	15.11	8.80	13.32	11.34	8.07	9.74	14.10	22.94	9.01	31.92	4.25	6.36	96.86
SL1344_1725	5.44	3.74	34.37	64.93	77.11	2.18	75.59	13.12	14.06	19.21	39.39	57.27	19.46	64.58	20.91	69.30	77.32
SL1344_1726	103.29	88.71	87.30	82.67	2.37	54.06	138.39	113.49	78.68	48.56	71.57	128.68	153.90	4.74	10.04	59.05	15.87
SL1344_1727	29.64	31.69	21.67	9.66	0.61	23.53	12.62	47.95	27.67	9.32	9.62	20.24	26.90	22.40	1.40	9.21	29.26
SL1344_1728	10.91	12.88	11.75	11.92	3.81	9.38	24.06	18.10	15.11	14.98	15.60	20.24	20.25	22.70	9.19	24.89	23.09
SL1344_1729	52.52	50.72	49.87	48.23	25.62	61.19	70.64	69.95	63.14	50.60	49.36	60.92	78.60	33.22	24.03	85.44	40.34
SL1344_1730	8.18	20.58	118.25	33.97	14.99	11.24	28.06	28.56	25.60	5.19	4.56	79.63	5.81	8.53	18.18	31.05	64.92
SL1344_1731	9.81	15.36	134.95	64.47	43.11	13.74	51.71	51.43	27.70	3.24	5.11	83.89	4.99	6.61	43.89	36.76	120.47
