SL1344_v1	EEP	MEP	LEP	ESP	LSP	25C	NaCl	Bile	Low_Fe	NoO2S	NoO2	Oxygen	NonSPI2	InSPI2	Peroxide	NO	Macrophage
SL1344_0009	166.18	89.72	11.86	7.82	7.66	65.38	10.34	49.90	13.98	16.23	3.25	3.38	14.20	2.94	2.45	3.49	19.91
SL1344_0864	56.42	47.89	56.40	46.67	7.03	44.60	20.03	80.29	26.25	13.46	31.71	62.70	84.95	74.95	9.75	28.01	58.46
SL1344_0865	53.26	51.58	58.31	51.73	8.33	45.21	19.35	80.78	29.39	16.38	37.01	59.01	87.40	74.01	8.05	29.55	32.46
SL1344_0866	62.80	53.64	62.23	85.47	6.34	40.87	20.59	111.71	36.55	33.28	49.48	69.93	97.21	80.96	17.59	38.30	49.07
SL1344_0867	112.45	98.25	105.24	97.82	21.59	83.38	61.04	170.16	54.33	45.23	68.58	98.44	149.59	136.58	14.07	57.03	60.60
SL1344_0868	28.30	34.22	45.50	88.52	52.61	16.34	62.17	53.73	39.85	79.49	68.64	48.75	28.90	27.29	32.43	63.09	29.96
SL1344_0869	40.35	39.46	50.40	82.72	26.47	26.31	41.42	73.75	42.28	69.57	74.23	67.05	48.26	138.48	82.61	131.13	803.15
SL1344_0870	19.80	18.96	27.37	39.11	8.63	16.86	11.37	38.15	27.60	56.74	50.72	40.48	30.33	65.84	30.73	62.70	262.06
SL1344_0871	21.87	21.50	26.22	18.93	3.33	19.58	12.74	28.23	11.79	13.50	22.86	38.57	9.07	5.87	1.90	6.17	9.27
SL1344_0872	6.14	6.76	12.82	16.22	3.07	3.65	8.25	14.33	15.16	9.55	21.30	22.93	14.36	10.76	4.47	13.59	11.55
SL1344_0873	12.37	15.04	30.40	44.38	31.02	8.45	37.07	28.57	37.01	41.62	47.94	42.42	35.52	38.67	25.06	70.05	33.54
SL1344_0086	8.24	9.08	15.26	25.18	49.87	8.75	21.86	10.36	10.56	12.54	18.25	13.72	12.58	22.14	17.02	51.99	13.51
SL1344_0874	2.43	1.36	5.63	14.75	13.18	1.35	18.36	2.32	1.56	1.59	12.49	8.81	3.96	6.66	4.26	22.68	14.21
SL1344_0875	14.68	9.91	16.03	16.92	11.84	13.44	9.60	14.25	6.07	17.91	14.94	17.88	20.78	21.42	7.14	52.73	22.31
SL1344_0876	6.10	4.29	5.29	5.80	3.61	4.31	2.75	7.81	1.81	10.94	5.81	5.88	5.32	3.51	0.78	6.11	15.21
SL1344_0877	16.64	14.06	21.97	26.60	8.53	9.99	25.22	35.79	24.44	10.87	19.03	35.63	32.10	17.26	4.39	26.66	33.92
SL1344_0878	10.26	6.90	20.93	27.04	6.25	7.25	7.57	11.91	12.15	14.73	15.69	25.48	9.67	5.59	3.06	8.71	10.82
SL1344_0879	334.22	235.71	154.49	88.61	18.35	297.21	155.37	241.06	40.01	30.89	99.99	171.53	309.14	490.84	22.38	135.01	590.84
SL1344_0880	23.20	17.16	32.17	50.97	5.12	21.27	21.48	38.78	11.41	7.34	20.65	47.20	34.13	32.03	16.95	30.20	349.30
SL1344_0882	44.45	110.33	957.68	2418.69	155.02	15.93	384.33	361.75	913.11	458.02	217.91	259.65	276.36	90.03	98.52	162.88	331.51
SL1344_0883	93.90	94.28	139.22	149.24	66.99	75.39	337.10	218.63	244.18	554.78	231.81	188.94	163.40	168.42	1177.04	242.34	611.33
SL1344_0087	9.93	4.26	7.56	11.40	7.99	2.81	3.27	6.09	3.81	4.98	8.41	7.70	7.83	8.17	3.87	17.94	9.76
SL1344_0884	53.37	46.25	78.52	112.30	18.65	40.93	141.03	104.28	105.68	273.07	130.04	143.81	106.91	85.20	280.87	235.91	326.11
SL1344_ncRNA_58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SL1344_0885	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SL1344_0886	1.97	2.09	2.50	6.30	7.58	2.51	3.50	1.98	3.28	5.15	6.68	3.03	1.36	2.06	2.42	10.01	13.91
SL1344_0887	26.26	18.00	8.23	9.06	12.01	32.33	10.72	9.07	6.33	7.07	9.68	7.15	4.30	4.90	5.19	14.58	21.18
SL1344_0888	4.36	3.27	7.56	17.14	13.70	2.54	7.06	5.79	4.63	5.77	9.56	9.49	7.31	5.58	4.41	11.77	9.65
SL1344_0889	1.79	0.98	3.13	7.78	7.00	0.50	4.03	2.57	1.56	3.52	3.64	4.14	2.67	2.64	2.54	3.27	4.11
SL1344_0890	5.07	4.07	4.65	7.61	6.94	2.26	39.73	9.00	5.24	5.26	4.34	5.24	4.36	3.10	5.10	3.81	11.77
SL1344_0891	2114.03	1893.11	846.47	200.58	15.47	2138.46	233.44	1102.48	157.13	184.21	248.72	598.77	1267.34	1679.06	80.05	218.27	589.38
SL1344_0088	92.35	82.81	75.67	55.14	15.08	116.86	10.47	101.69	31.47	24.48	34.27	51.64	65.28	60.99	18.83	64.70	46.99
SL1344_0892	1035.46	921.78	443.36	130.78	22.69	1199.34	186.27	582.90	145.18	191.55	232.50	339.47	628.07	974.78	96.84	177.51	380.93
SL1344_0893	24.99	26.14	23.99	25.94	14.03	27.44	14.59	29.18	19.51	22.62	25.64	29.18	24.53	25.76	15.01	25.07	18.25
SL1344_0894	32.87	38.65	33.37	27.57	5.28	30.33	13.33	36.09	28.71	18.85	29.21	34.14	36.64	22.92	12.56	15.63	9.87
SL1344_0895	42.72	40.91	34.29	29.34	4.57	34.91	16.17	45.43	22.90	15.99	32.59	33.91	41.69	25.27	9.28	15.60	18.63
SL1344_0896	114.48	111.71	102.90	92.65	7.46	58.71	58.25	207.76	104.93	34.42	84.51	115.32	136.68	113.70	126.85	117.38	271.70
SL1344_0897	217.96	188.88	300.84	346.59	19.99	240.88	398.77	397.01	373.90	84.85	231.79	514.50	620.42	405.40	210.65	235.03	335.51
SL1344_0898	62.44	62.64	72.62	75.54	9.71	53.93	75.97	105.44	65.91	32.22	75.10	121.56	110.64	75.89	62.81	68.93	49.56
SL1344_0899	65.35	70.11	76.77	98.32	18.83	67.40	91.06	128.81	75.12	74.00	104.17	142.91	110.41	83.68	94.30	71.13	107.40
SL1344_0900	37.19	41.40	48.00	56.98	12.78	42.58	50.35	71.42	46.57	50.20	76.74	89.49	66.33	55.36	43.39	45.04	52.95
SL1344_0901	68.08	60.95	57.81	77.76	4.66	52.30	40.68	119.84	75.90	88.18	89.36	120.09	79.30	56.45	27.92	47.97	153.69
SL1344_ncRNA_13	43.47	53.71	61.49	71.69	16.83	54.92	59.36	65.56	101.05	86.18	92.65	67.26	54.31	57.57	43.09	125.53	59.67
SL1344_0902	2.13	1.33	1.96	33.05	2.66	0.74	0.83	2.68	2.29	118.37	175.53	3.19	1.68	1.79	1.11	1.81	3.70
SL1344_0903	1.35	0.42	0.80	16.58	2.63	0.00	0.00	1.16	0.12	69.04	88.32	1.98	0.50	1.22	0.00	0.83	3.48
SL1344_0904	6.32	1.21	1.53	21.58	7.54	0.60	1.52	2.48	1.47	90.57	132.76	4.86	2.56	2.63	3.03	3.94	21.22
SL1344_0905	11.91	8.84	6.95	6.46	7.40	10.17	2.08	5.96	2.60	16.77	30.68	17.29	9.42	70.51	8.83	29.70	27.26
SL1344_0906	10.75	10.39	14.90	14.16	11.69	5.74	6.31	22.69	4.10	3.44	7.62	7.70	6.87	31.97	2.44	10.06	122.02
SL1344_ncRNA_59	160.15	167.98	158.89	121.30	139.49	165.98	131.41	213.95	128.11	126.47	206.24	154.83	152.11	204.28	169.29	250.34	97.52
SL1344_0907	82.28	72.05	71.09	68.52	53.05	64.49	46.54	86.20	39.13	56.92	82.00	69.64	63.94	73.60	69.95	81.74	63.35
SL1344_0908	39.59	43.48	48.25	60.70	38.42	40.56	41.41	45.28	38.92	147.16	54.53	39.89	41.18	84.52	63.19	41.70	35.48
SL1344_0909	13.19	20.21	20.02	108.55	13.56	11.01	41.98	32.42	33.54	72.13	34.02	26.90	24.36	913.90	438.83	1099.61	831.31
SL1344_0910	101.00	80.35	85.90	269.86	18.42	45.30	32.67	187.14	79.40	274.02	352.85	95.67	79.44	55.78	18.54	72.58	69.57
SL1344_0089	41.79	36.19	36.52	50.27	17.40	39.18	43.95	55.76	44.88	49.66	56.47	47.07	39.11	54.23	37.13	68.14	89.80
SL1344_0911	80.01	69.04	68.93	158.06	51.64	44.28	50.46	114.67	33.87	127.58	224.69	62.75	59.57	52.31	7.53	72.58	40.08
SL1344_0912	49.87	35.47	18.19	9.49	3.28	49.17	5.09	40.56	7.55	8.88	7.24	14.30	34.33	21.01	4.18	6.77	38.77
SL1344_0913	5.85	3.19	11.13	18.18	8.27	1.61	26.93	5.57	5.61	2.54	11.12	14.19	8.30	12.81	1.62	22.34	12.43
SL1344_0914	39.07	49.60	60.97	76.12	22.86	28.64	42.38	105.60	96.17	49.84	80.39	110.75	176.20	177.64	45.81	174.20	143.01
SL1344_0915	21.92	21.94	25.51	30.35	6.15	16.39	16.39	40.74	23.62	34.73	29.78	47.29	80.99	56.65	15.47	45.06	51.40
SL1344_0916	14.51	12.13	11.71	12.40	9.97	16.92	19.62	15.65	10.20	15.02	17.81	24.34	35.52	33.89	7.36	27.23	13.38
SL1344_0917	267.44	192.31	150.11	69.66	22.83	172.71	170.88	229.30	42.61	44.63	60.74	155.67	179.62	99.93	15.00	52.06	145.92
SL1344_0918	2281.00	1567.38	1046.94	615.66	27.35	1484.30	963.69	2414.77	852.51	256.38	274.42	1109.00	1486.52	478.10	292.12	190.09	1431.78
SL1344_0919	488.09	364.04	426.65	457.61	101.98	247.89	302.86	437.45	196.56	111.47	335.54	551.39	401.35	144.01	77.98	263.80	418.29
SL1344_ncRNA_60	1.97	1.99	7.30	25.86	8.60	0.88	7.31	11.64	57.88	115.65	29.89	3.25	3.61	0.51	11.44	5.59	6.67
SL1344_0090	143.05	109.69	90.60	70.55	8.31	117.96	40.24	146.42	58.99	25.40	101.18	99.55	89.85	106.08	17.27	82.98	170.80
SL1344_0920	4.25	1.72	2.09	3.13	6.83	1.52	2.16	2.96	2.11	3.88	2.59	2.58	3.08	1.94	1.08	3.03	7.57
SL1344_0921	86.35	72.54	51.57	32.81	8.16	55.89	35.81	94.29	20.66	19.84	22.25	47.77	71.55	42.47	8.27	19.65	54.48
SL1344_0922	61.71	56.57	39.86	31.82	5.42	62.13	26.17	76.35	27.35	14.60	18.13	36.08	51.08	39.65	7.26	16.57	30.50
SL1344_0923	10.32	9.50	7.05	6.35	4.40	8.57	1.75	15.46	5.51	3.17	6.30	8.88	10.90	6.62	1.47	5.04	11.44
SL1344_0924	73.38	81.46	80.99	76.00	16.54	61.80	80.08	146.16	89.80	126.16	73.36	74.96	84.44	58.12	41.05	58.43	139.22
SL1344_0925	51.38	42.27	49.84	53.83	4.44	40.28	24.18	98.75	63.22	31.56	60.17	50.88	50.97	23.50	12.52	28.51	36.34
SL1344_0926	10.93	6.77	8.87	21.61	8.29	6.63	9.23	10.54	14.04	80.97	31.88	9.63	8.46	6.49	6.93	11.13	21.42
SL1344_0927	5.63	5.11	4.32	5.90	3.26	5.75	6.31	9.47	6.06	3.53	6.93	7.66	7.57	4.87	4.88	5.60	8.03
SL1344_0928	49.17	43.89	34.66	28.06	3.90	30.58	24.25	69.99	25.47	13.75	23.07	45.35	33.60	10.41	3.06	10.92	31.52
SL1344_0929	57.74	51.45	52.63	48.28	5.01	40.52	25.75	98.61	37.20	11.53	31.02	66.86	39.39	19.20	4.56	18.69	38.72
SL1344_0091	120.51	116.82	106.12	110.99	26.99	125.59	74.35	181.55	110.54	60.58	132.42	122.52	117.43	113.68	37.57	117.07	175.59
SL1344_0930	83.36	74.26	89.22	86.71	8.98	63.90	33.60	108.50	57.14	16.65	51.38	129.47	58.97	29.05	6.37	27.77	51.07
SL1344_0931	62.21	57.60	69.16	67.27	4.76	45.96	33.65	95.41	50.95	18.55	38.02	102.73	49.33	31.30	13.23	19.75	62.39
SL1344_0932	19.39	18.97	47.71	55.73	17.11	23.13	34.26	40.44	38.47	67.35	68.49	66.89	26.51	28.89	63.37	70.41	68.06
SL1344_0933	55.18	60.87	103.18	122.98	10.11	50.13	52.97	157.47	68.77	63.83	75.70	104.42	142.08	114.99	35.54	71.29	356.48
SL1344_0934	46.34	51.35	74.38	82.17	5.86	41.53	27.14	124.23	62.17	29.45	51.59	85.33	107.23	85.56	22.19	48.52	228.74
SL1344_0935	70.89	67.97	101.92	110.42	8.65	52.31	27.71	109.49	104.36	52.96	104.58	135.34	192.16	172.65	76.55	136.72	99.16
SL1344_0936	46.67	55.96	270.62	458.49	14.85	48.40	13.91	33.34	41.52	20.60	9.05	51.38	782.53	53.97	19.57	48.04	21.68
SL1344_ncRNA_61	55.83	60.78	44.24	53.44	16.36	51.33	18.18	30.23	35.69	79.65	22.95	34.04	70.56	23.54	12.76	65.94	7.69
SL1344_0937	179.68	152.76	161.35	165.88	23.78	91.99	76.54	244.67	136.04	74.05	121.29	266.51	215.70	117.33	71.97	91.57	148.95
SL1344_0938	10.58	9.87	15.75	20.80	3.27	5.21	13.99	18.56	17.81	20.56	13.15	13.82	13.51	8.30	3.01	8.24	33.06
SL1344_0092	188.98	205.00	163.34	166.17	84.50	296.97	289.53	188.06	257.54	264.07	246.43	151.90	185.94	184.37	199.86	266.28	136.54
SL1344_0939	3.44	0.70	1.09	2.52	5.70	0.21	3.15	1.06	1.17	2.01	0.67	1.01	1.13	0.79	0.48	1.60	2.38
SL1344_0940	2.37	0.59	0.84	1.83	3.56	0.66	1.58	0.94	0.62	1.63	0.95	0.92	1.20	0.91	0.78	1.12	1.10
SL1344_0941	47.43	38.41	30.80	18.57	6.21	56.00	12.72	69.42	16.52	13.17	26.24	53.17	88.66	58.21	18.38	38.01	34.66
SL1344_0942	42.09	45.50	50.79	47.13	4.43	66.58	28.48	47.03	76.13	42.88	109.03	62.00	56.16	54.23	40.93	55.64	46.53
SL1344_ncRNA_62	77.69	98.35	86.89	52.35	32.38	163.05	127.49	97.09	161.80	121.52	143.67	78.96	109.85	217.14	154.72	186.11	169.01
SL1344_0943	1.55	2.36	1.33	2.59	1.70	1.04	0.96	1.15	1.20	1.18	1.92	3.00	1.60	0.81	0.43	1.62	1.65
SL1344_0944	1.07	0.00	0.46	0.77	2.02	0.00	0.00	0.00	0.00	0.00	0.86	0.00	0.37	0.42	0.00	0.31	0.11
SL1344_0945	0.87	0.12	0.30	0.88	0.60	0.08	0.11	0.26	0.47	0.53	0.37	0.43	0.16	0.18	0.29	0.20	0.29
SL1344_0946	0.09	0.11	0.06	0.38	0.35	0.03	0.12	0.12	0.16	0.03	0.12	0.24	0.06	0.02	0.02	0.09	0.10
SL1344_ncRNA_63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SL1344_0093	120.77	117.66	101.88	106.09	8.99	121.44	80.07	202.47	131.04	57.89	99.58	115.25	138.08	96.23	37.68	102.56	222.80
SL1344_ncRNA_64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SL1344_0947	1.07	0.65	3.13	3.47	0.60	0.00	0.40	1.43	1.00	2.94	2.05	2.31	0.15	0.34	0.36	0.24	0.64
SL1344_0948	1.63	2.06	4.18	5.99	0.00	0.00	0.76	0.90	1.42	0.00	1.29	2.02	0.28	0.64	0.00	0.46	1.38
SL1344_0949	12.84	14.51	7.62	6.34	2.55	20.14	25.27	6.31	4.88	31.57	11.53	6.53	9.00	8.14	19.91	12.79	3.66
SL1344_0950	161.29	190.94	141.13	125.35	23.20	179.87	271.56	164.55	161.82	326.48	206.51	129.34	140.89	121.38	240.01	118.02	83.97
SL1344_0951	1.55	0.52	0.59	1.88	2.41	0.00	0.64	0.95	0.60	0.26	0.18	0.71	0.59	0.40	0.29	0.59	0.80
SL1344_ncRNA_65	685.20	1347.36	1191.11	440.02	47.38	653.05	1746.87	144.97	780.55	740.00	685.62	647.44	1427.67	1713.39	1223.91	1278.50	1067.20
SL1344_0953	4.11	0.26	0.44	1.39	5.39	0.11	0.00	0.10	0.30	0.13	0.55	0.50	0.35	0.27	0.00	0.88	0.62
SL1344_0954	3.70	0.37	0.48	1.41	3.30	0.00	0.00	0.62	0.22	0.56	0.79	1.53	0.76	0.58	0.00	1.26	1.02
SL1344_0010	2.88	2.37	1.54	1.88	1.94	1.93	3.69	2.40	0.84	3.01	2.48	2.16	1.55	2.90	0.75	2.87	2.67
SL1344_0094	85.48	80.48	77.70	77.93	10.26	80.51	70.56	150.22	82.44	37.96	75.39	87.32	102.45	64.31	21.89	71.02	133.90
SL1344_0955	10.32	12.34	16.80	13.55	8.91	4.97	25.74	19.72	33.36	22.62	16.21	17.75	12.92	15.22	7.38	21.27	8.93
SL1344_0956	218.74	358.52	327.74	215.86	61.66	298.71	368.27	581.36	377.01	290.08	238.41	243.82	333.50	259.66	95.87	209.82	120.59
SL1344_0957	60.35	109.39	75.30	63.56	21.19	65.96	442.98	73.77	98.97	120.35	65.78	70.17	39.80	38.91	677.03	71.37	26.28
SL1344_0958	9.39	15.01	13.61	8.57	5.30	7.99	33.73	9.71	10.04	11.85	18.22	15.87	11.66	8.95	21.19	20.28	12.03
SL1344_0959	0.95	0.11	0.09	0.40	2.07	0.28	0.39	0.47	0.24	0.16	0.33	0.00	0.43	0.08	0.17	0.42	2.09
SL1344_0960	2.20	0.00	0.00	0.63	3.30	0.00	0.00	0.00	0.00	0.00	0.47	0.73	0.60	0.00	0.00	0.50	4.85
SL1344_0961	2.58	2.12	2.76	3.79	3.48	0.86	4.35	2.42	3.18	4.54	3.08	3.93	1.55	2.09	1.61	5.87	6.32
SL1344_0963	3.60	0.52	0.88	1.95	4.34	1.37	0.00	0.57	1.19	1.56	0.00	0.42	0.00	0.81	0.00	1.17	1.09
SL1344_0964	71.35	46.49	10.78	13.87	8.18	52.58	28.20	41.30	7.98	19.58	6.52	15.96	22.03	7.96	2.61	6.59	38.73
SL1344_0095	46.18	43.32	39.15	40.58	17.28	50.65	47.08	78.08	50.64	48.01	43.96	33.73	41.88	38.52	18.99	30.38	64.35
SL1344_0965	6.18	5.78	12.99	9.75	4.92	1.88	5.92	8.11	11.42	15.10	6.45	17.57	9.91	8.22	2.96	9.16	4.76
SL1344_0965A	0.00	0.00	0.16	0.09	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.11	0.16
SL1344_0966	1.28	0.86	1.70	1.82	5.59	0.19	2.38	0.47	0.83	3.03	1.81	1.53	1.27	1.11	0.71	3.40	2.35
SL1344_0967	1.80	0.39	1.32	0.79	1.93	0.34	0.72	0.71	0.45	0.59	1.77	1.80	0.88	1.41	0.43	0.95	4.35
SL1344_0968	1.45	2.07	2.17	2.92	3.05	1.45	1.34	3.48	1.68	5.32	2.81	3.98	3.40	3.78	1.50	3.77	6.54
SL1344_0969	3.49	1.83	2.16	3.15	3.10	1.21	1.18	3.27	1.36	1.92	2.52	3.48	2.52	1.77	0.80	2.86	5.56
SL1344_0971	4.32	2.35	3.34	4.60	3.04	1.94	1.62	4.52	3.18	2.27	3.57	5.18	3.68	3.26	1.41	4.51	6.81
SL1344_0972	3.13	1.52	2.38	3.40	2.81	1.38	1.16	2.50	1.82	2.05	2.29	3.59	2.54	2.16	1.53	2.12	10.47
SL1344_0973	2.19	0.60	0.85	3.21	3.36	0.80	1.11	0.88	0.00	0.00	1.48	2.63	2.05	0.31	0.00	1.02	7.84
SL1344_ncRNA_14	273.07	320.17	138.55	80.40	6.86	186.92	234.39	57.78	335.36	69.26	67.25	89.37	145.90	101.38	77.01	70.32	20.33
SL1344_0974	3.22	1.74	3.31	5.51	6.04	1.15	1.60	0.95	2.25	2.29	2.73	3.91	2.36	5.22	9.99	7.82	10.47
SL1344_0975	3.18	1.26	0.87	3.29	3.19	0.00	0.84	2.02	1.45	1.55	1.32	2.63	1.87	0.89	0.47	0.77	8.80
SL1344_0976	7.37	1.14	0.55	2.89	3.90	0.21	0.60	4.27	1.86	0.97	2.21	3.71	1.98	1.13	1.60	2.55	12.22
SL1344_0977	3.51	2.00	1.69	2.69	2.17	0.92	1.59	3.14	1.49	3.00	2.82	3.69	2.54	1.75	1.50	2.83	8.18
SL1344_0978	3.23	0.98	2.35	3.84	3.48	1.73	0.30	3.58	1.13	1.23	1.20	3.07	2.77	2.15	0.40	1.38	11.42
SL1344_0979	4.64	2.47	3.56	3.48	3.66	1.96	0.45	4.61	2.84	0.74	4.40	4.04	4.20	4.40	1.01	5.84	5.28
SL1344_0980	2.30	1.33	2.76	2.89	2.74	1.58	1.36	2.94	1.57	4.58	3.01	4.43	2.28	2.61	2.66	3.18	7.44
SL1344_0981	3.09	2.55	4.14	5.52	5.08	1.55	1.08	3.01	1.57	2.94	3.90	3.36	2.79	3.49	4.34	3.85	10.90
SL1344_0982	8.27	7.59	14.94	15.05	5.45	6.05	8.65	10.19	11.71	15.92	13.71	14.53	11.28	14.49	9.23	16.77	26.61
SL1344_0983	28.43	15.49	46.44	112.06	6.44	15.30	45.72	36.66	22.82	53.16	106.07	68.72	72.17	286.25	211.16	93.46	923.33
SL1344_0096	84.37	56.44	22.37	16.45	5.12	63.05	10.70	70.88	14.27	7.26	9.30	17.40	23.72	17.66	5.02	13.97	18.63
SL1344_0984	2.96	2.53	4.59	7.07	5.02	0.74	5.50	5.23	6.55	4.36	5.10	2.75	3.24	3.12	1.61	4.57	5.91
SL1344_0985	2.18	0.97	1.79	3.31	4.25	0.93	1.95	3.87	2.13	1.86	1.94	2.02	2.22	0.82	0.94	2.53	5.28
SL1344_0986	1.78	1.32	2.13	2.99	2.56	1.11	2.42	3.03	2.07	0.90	1.51	1.27	1.87	1.30	0.89	2.02	4.22
SL1344_0987	1.57	0.83	1.48	2.17	2.39	0.64	1.11	1.96	1.69	2.39	2.79	2.58	1.60	1.58	0.88	2.17	3.57
SL1344_0988	1.19	0.29	0.43	0.90	2.00	0.07	0.39	0.59	0.52	0.60	0.75	0.63	0.49	0.52	0.24	1.08	0.92
SL1344_0989	1.99	1.68	2.27	3.73	3.52	0.74	2.26	1.96	2.70	2.35	2.34	2.83	1.29	2.25	1.47	3.27	3.09
SL1344_0990	2.69	1.81	2.56	2.98	5.04	3.99	8.33	1.00	3.82	1.36	1.90	3.21	3.29	3.05	2.48	7.82	4.05
SL1344_0097	46.46	32.60	14.93	13.11	2.55	35.19	4.36	35.36	4.85	4.44	6.56	13.30	19.21	12.01	3.49	10.88	18.50
SL1344_0993	3.08	0.31	1.93	2.34	8.85	0.41	2.48	0.80	1.07	1.40	2.94	3.82	1.41	2.49	0.51	1.63	1.96
SL1344_0994	6.04	5.21	22.81	19.47	94.83	8.38	24.97	5.96	10.92	7.15	18.75	39.40	16.31	23.87	15.06	14.64	16.78
SL1344_0995	19.00	28.15	75.05	94.28	204.24	16.39	103.27	23.70	39.60	31.90	60.27	111.27	42.30	61.53	30.03	45.18	46.02
SL1344_0996	14.12	16.68	15.84	9.91	48.55	17.98	35.65	15.31	16.41	8.70	11.77	12.51	6.47	7.12	185.80	17.03	3.28
SL1344_0997	17.13	16.95	37.31	46.22	6.96	20.44	15.00	33.34	34.86	50.69	47.25	51.34	22.23	24.10	33.04	42.59	55.85
SL1344_0998	30.26	23.69	18.68	18.65	2.56	22.61	6.86	32.90	7.98	12.67	11.06	16.61	32.75	23.24	4.12	4.67	18.57
SL1344_0999	39.09	40.07	100.87	114.20	16.66	32.47	86.62	65.40	35.11	26.50	91.24	135.16	83.11	63.19	13.10	50.10	119.31
SL1344_1000	10.59	10.73	9.97	10.24	4.56	7.90	6.14	15.69	6.66	3.44	7.37	14.79	19.43	13.44	2.41	8.96	17.89
SL1344_1001	53.45	46.52	37.86	23.93	3.08	36.25	11.79	70.47	13.70	10.43	10.57	32.28	41.23	22.75	4.66	10.32	35.89
SL1344_1002	57.07	50.97	36.49	24.18	2.56	38.00	14.09	70.20	23.87	13.27	10.18	32.96	40.36	24.41	8.54	11.38	33.32
SL1344_0098	8.90	8.57	7.84	9.20	8.84	10.08	11.48	10.86	7.46	11.35	9.39	7.83	6.09	6.66	31.55	10.71	11.73
SL1344_1003	32.49	31.45	24.85	21.47	8.31	26.79	13.54	58.11	22.51	11.46	13.32	23.43	27.46	24.28	12.10	18.55	35.08
SL1344_1004	31.36	28.51	24.95	20.85	4.66	25.02	10.56	58.58	29.72	14.06	12.92	24.89	28.76	23.19	10.97	18.36	35.53
SL1344_1005	39.34	42.16	42.99	28.91	9.20	35.38	18.67	69.67	47.72	27.77	21.90	32.62	41.10	32.21	19.91	39.34	34.47
SL1344_ncRNA_66	7.64	7.74	4.58	9.82	4.30	11.24	11.38	6.79	21.32	124.46	9.73	5.69	5.78	20.99	7.62	23.49	61.88
SL1344_1006	22.68	31.15	287.20	1139.52	1043.06	33.93	124.47	45.69	132.28	277.32	796.59	688.17	450.09	928.97	875.90	1145.61	1022.45
SL1344_1007	320.28	269.00	136.97	96.26	13.25	248.94	38.28	260.49	100.13	38.29	46.94	164.07	228.74	125.15	16.79	26.17	169.07
SL1344_1008	63.76	52.60	40.23	26.45	5.24	60.41	9.57	74.64	21.79	7.33	13.44	37.85	48.73	25.69	2.99	7.56	40.69
SL1344_1009	41.62	46.18	52.32	64.65	11.32	48.06	96.73	59.64	107.82	134.45	57.42	48.86	45.73	29.87	67.53	32.34	34.26
SL1344_1010	734.93	523.33	787.86	1097.61	171.71	515.04	483.41	1142.10	534.54	748.49	991.63	1510.95	1081.72	610.75	768.83	831.62	359.08
SL1344_1011	17.15	15.20	21.94	24.66	16.09	20.24	46.24	22.28	19.06	31.48	19.00	29.51	15.53	31.27	670.16	42.22	93.30
SL1344_0099	13.67	14.16	14.11	11.38	5.92	11.49	15.41	12.65	9.63	21.75	12.74	8.99	11.33	13.57	11.10	15.33	12.82
SL1344_1012	5.41	4.94	9.82	19.73	6.37	1.56	8.49	12.97	23.19	18.57	13.06	12.55	8.98	5.91	6.17	8.82	10.57
SL1344_1013	14.37	15.43	15.02	15.10	6.40	10.33	17.81	16.13	12.89	11.75	20.31	19.35	15.79	16.28	7.24	13.63	9.58
SL1344_1014	10.51	9.18	9.25	10.00	5.54	4.81	5.36	13.91	4.35	5.48	11.76	10.00	8.61	5.53	3.59	4.83	9.89
SL1344_1015	15.63	17.32	20.99	29.20	7.27	11.16	21.98	25.59	21.11	23.26	29.25	30.47	23.09	20.94	23.33	28.33	28.41
SL1344_1016	21.17	21.72	44.91	79.14	11.83	13.50	31.56	67.11	96.95	188.58	52.65	34.08	29.80	10.56	19.58	21.31	26.32
SL1344_1017	2.91	1.96	7.15	9.32	26.83	1.17	5.41	1.72	3.38	7.08	7.41	6.50	3.27	3.50	3.06	8.67	7.69
SL1344_1018	12.04	12.50	19.44	43.23	17.80	7.64	17.23	29.32	17.94	32.88	35.04	31.39	20.91	21.31	22.19	41.29	45.08
SL1344_1019	73.12	100.30	68.88	73.88	41.98	61.75	305.62	145.56	377.86	113.73	58.45	135.81	56.42	44.17	91.75	55.57	126.72
SL1344_1020	27.57	21.53	14.58	13.57	9.25	26.94	13.71	28.39	10.41	19.04	12.99	14.73	17.36	13.73	18.02	13.61	16.99
SL1344_1021	4.22	3.68	4.12	6.85	2.64	2.51	3.92	6.90	8.85	14.44	9.20	8.91	5.96	5.42	6.04	5.80	12.96
SL1344_1022	8.16	5.51	8.97	12.31	7.96	6.83	10.43	9.98	12.93	17.94	17.23	15.60	10.77	13.19	10.96	14.40	26.41
