SL1344_v1	EEP	MEP	LEP	ESP	LSP	25C	NaCl	Bile	Low_Fe	NoO2S	NoO2	Oxygen	NonSPI2	InSPI2	Peroxide	NO	Macrophage
SL1344_2865	86.81	11.25	994.24	2372.71	34.41	2.76	7.69	5.74	3.45	6.88	235.73	896.96	77.13	13.88	34.15	43.02	11.34
SL1344_2866	10.56	3.16	162.28	182.19	6.53	1.68	2.79	2.47	1.46	2.74	34.06	262.39	12.42	2.49	1.10	2.42	3.54
SL1344_2867	17.05	2.88	184.27	198.73	7.08	0.76	2.57	2.98	2.45	2.47	52.18	334.67	15.74	2.99	2.16	3.79	3.68
SL1344_2868	29.14	8.25	427.75	527.80	12.97	2.31	11.03	6.03	3.44	6.39	141.21	758.27	32.61	6.97	6.57	8.15	9.53
SL1344_2869	22.96	4.53	401.25	393.98	7.59	2.04	4.43	3.39	2.33	3.04	109.96	687.01	26.47	4.78	1.74	3.25	5.69
SL1344_2870	20.72	2.07	247.90	342.23	5.75	1.60	2.75	1.88	1.06	1.61	76.79	474.31	16.05	2.76	1.76	2.37	4.78
SL1344_2871	17.10	1.93	301.64	433.13	2.80	1.28	4.02	2.75	1.77	1.26	101.50	550.38	19.02	2.39	1.53	2.42	4.99
SL1344_2872	27.54	5.14	521.09	621.88	5.84	0.97	5.12	3.86	2.36	2.87	187.74	936.44	30.01	4.55	1.33	3.46	10.69
SL1344_2873	32.72	5.12	496.16	649.36	8.56	2.06	4.24	3.47	3.40	5.06	174.52	932.46	31.75	2.99	3.09	5.45	7.33
SL1344_2874	54.11	8.47	998.14	1339.45	13.76	3.59	11.15	6.66	6.42	9.60	302.42	1524.41	60.33	9.28	11.28	12.48	16.72
SL1344_0278	1.91	1.43	1.64	1.82	3.27	1.22	1.85	2.21	2.03	2.02	1.32	1.44	1.77	1.50	0.90	3.31	2.85
SL1344_2875	29.03	7.02	510.77	535.60	7.43	2.38	6.97	4.44	5.66	9.02	177.96	809.69	32.81	6.64	3.32	8.79	5.04
SL1344_2876	22.45	4.07	420.04	434.88	7.00	1.15	3.95	2.30	3.34	7.17	158.41	753.99	29.31	4.82	1.67	7.71	3.99
SL1344_2877	23.66	3.24	398.37	445.34	15.52	0.81	4.60	2.28	3.40	5.73	163.23	700.11	27.89	4.54	2.97	7.62	5.21
SL1344_2878	26.97	4.60	502.89	525.59	145.71	2.11	6.98	2.08	3.90	8.27	220.70	877.09	33.90	4.49	5.91	7.87	5.69
SL1344_2879	24.93	15.26	131.86	189.07	2.72	7.17	42.88	4.99	8.42	12.79	118.55	300.76	27.31	8.53	1.57	5.36	8.97
SL1344_ncRNA_189	837.91	682.33	14301.89	22969.94	10210.03	514.03	852.86	557.90	641.44	1046.32	6288.21	16432.19	1467.98	488.39	1055.15	715.19	206.01
SL1344_2880	48.90	44.17	72.03	71.82	5.23	42.45	42.04	52.42	45.38	55.49	64.02	95.88	58.52	67.08	12.24	42.89	54.67
SL1344_2881	34.41	27.17	47.55	31.06	2.60	39.09	27.20	35.56	28.17	31.25	54.96	68.38	45.43	42.39	2.15	30.96	20.00
SL1344_2882	11.03	17.15	28.51	16.49	7.57	7.64	102.24	33.69	13.74	10.49	26.95	25.73	21.54	61.96	4.58	119.73	52.43
SL1344_0026	4.46	1.63	2.02	2.18	2.91	0.83	1.38	1.93	2.16	2.26	2.10	1.95	1.96	1.75	0.52	2.26	1.84
SL1344_0279	4.93	1.03	2.86	3.86	6.12	0.97	6.20	3.38	1.18	2.87	2.00	1.32	2.79	1.93	2.05	3.63	3.01
SL1344_2884	96.97	95.52	77.57	134.15	48.79	45.89	435.42	140.91	99.59	144.20	86.44	63.15	72.64	38.73	122.92	107.75	150.06
SL1344_2885	32.77	25.17	24.42	44.73	15.65	11.57	86.59	48.72	25.77	38.38	29.60	27.20	29.50	14.53	35.14	34.67	87.17
SL1344_2886	19.38	19.92	5.87	4.93	3.85	19.50	30.59	13.81	7.62	3.72	3.43	4.77	5.86	6.91	4.96	6.07	11.28
SL1344_2887	3.70	1.37	1.27	1.88	2.31	2.31	1.83	1.23	1.58	2.25	1.96	1.94	1.95	2.13	0.51	4.14	1.31
SL1344_2888	31.68	28.51	24.81	24.85	3.74	21.49	17.03	40.19	27.16	18.88	23.44	27.08	28.05	16.54	9.07	20.28	22.71
SL1344_2889	4.39	2.40	2.89	2.73	4.28	0.90	3.77	3.94	3.73	2.57	2.33	1.54	3.37	1.59	0.14	2.12	3.65
SL1344_2890	3.51	1.29	0.87	2.53	4.34	0.64	1.09	2.01	1.79	2.35	1.52	1.45	1.79	1.04	0.93	1.78	3.22
SL1344_2891	4.48	2.72	3.78	4.03	5.10	2.40	5.13	5.82	4.48	4.40	3.95	3.59	4.03	2.70	2.18	4.94	4.76
SL1344_2892	6.01	5.09	5.51	8.04	6.44	4.88	4.23	9.01	14.77	17.90	5.24	5.04	3.22	2.59	4.53	3.52	6.00
SL1344_0280	2.89	1.31	1.88	2.26	2.55	1.35	2.53	1.81	1.49	1.34	1.74	2.91	2.26	1.59	0.68	2.52	3.10
